city,date,SO_2,NO_2,CO,PM_10,PM_2_5,O3_8h_max,AQI_avg,,,,,,,,,,,
Chongqing,20190304,7.75,46.875,0.8616666666666667,59.79166666666666,37.083333333333336,70,54.91666666666666,,,,,,,,,,,
Fuzhou,20190304,4.208333333333333,26.5,0.7841666666666667,34.125,19.875,99,35.208333333333336,,,,,,,,,,,
Guangzhou,20190304,5.833333333333333,45.333333333333336,0.8933333333333334,42.208333333333336,25.58333333333333,116,40.625,,,,,,,,,,,
Guiyang,20190304,16.958333333333332,32.083333333333336,0.7533333333333333,64.08333333333333,39.25,68,57.75,,,,,,,,,,,
Haikou,20190304,5.333333333333333,10.625,0.4666666666666666,23.041666666666668,11.75,58,23.08333333333333,,,,,,,,,,,
Hangzhou,20190304,8.041666666666666,47.29166666666666,1.1516666666666666,73.125,51.625,80,70.875,,,,,,,,,,,
Harbin,20190304,23.875,60.66666666666666,1.1466666666666667,86.70833333333333,59.958333333333336,85,84.54166666666667,,,,,,,,,,,
Hefei,20190304,4.541666666666667,47.625,0.9379166666666668,79.08695652173913,61.66666666666666,87,83.625,,,,,,,,,,,
Hohhot,20190304,19.375,53.54166666666666,1.336666666666667,100.29166666666669,53.458333333333336,98,83.16666666666667,,,,,,,,,,,
Jinan,20190304,18.375,47.91666666666666,0.8704166666666667,144.20833333333334,85.83333333333333,119,113.66666666666669,,,,,,,,,,,
Kunming,20190304,16.583333333333332,27.291666666666668,0.6725,50.875,23.75,89,48.708333333333336,,,,,,,,,,,
Lanzhou,20190304,24.58333333333333,63.875,1.14375,89.79166666666667,44.208333333333336,104,70.25,,,,,,,,,,,
Lhasa,20190304,4.416666666666667,10.125,0.5245833333333333,44.41666666666666,14.333333333333334,111,44.958333333333336,,,,,,,,,,,
Nanchang,20190304,9.625,45.208333333333336,1.24625,60,30.58333333333333,99,54.708333333333336,,,,,,,,,,,
Nanjing,20190304,8.5,48,1.105,114.875,72.83333333333333,107,97.33333333333331,,,,,,,,,,,
Nanning,20190304,9.208333333333334,44.958333333333336,1.08875,77.875,51.875,62,75.45833333333333,,,,,,,,,,,
Shanghai,20190304,10.541666666666666,55.25,0.9541666666666666,104.4,94.625,108,124.83333333333331,,,,,,,,,,,
